,ORF_id_gen,chromosome,start,stop,gene_id,gene_symbol,strand,start_codon,ORF_length,transcript_id,uORFids
110,chr7:103344697-103344754:-,chr7,103344698,103344754,ENSG00000105821.14,DNAJC2,-,ATG,18,ENST00000379263.7,ENST00000379263.7.1
111,chr7:150368902-150388451:+,chr7,150368903,150388451,ENSG00000284041.1,RP11-511P7.7,+,ATG,22,ENST00000478789.5,ENST00000478789.5.1
112,chr8:23449986-23457608:-,chr8,23449987,23457608,ENSG00000197217.12,ENTPD4,-,ATG,20,ENST00000356206.10,ENST00000356206.10.1
113,chr8:30070048-30082949:-,chr8,30070049,30082949,ENSG00000133872.13,SARAF,-,ATG,37,ENST00000545648.2,ENST00000545648.2.1
114,chr8:33453499-33461642:-,chr8,33453500,33461642,ENSG00000172728.15,FUT10,-,ATG,93,ENST00000327671.9,ENST00000327671.9.1
115,chr8:38176276-38176606:-,chr8,38176277,38176606,ENSG00000175324.9,LSM1,-,ATG,109,ENST00000311351.8,ENST00000311351.8.1
116,chr8:43102587-43122120:+,chr8,43102588,43122120,ENSG00000185900.9,POMK,+,ATG,109,ENST00000331373.9,ENST00000331373.9.1
117,chr8:43097556-43102538:+,chr8,43097557,43102538,ENSG00000185900.9,POMK,+,ATG,30,ENST00000331373.9,ENST00000331373.9.2
118,chr8:65605504-65627398:-,chr8,65605505,65627398,ENSG00000104442.9,ARMC1,-,ATG,102,ENST00000458464.3,ENST00000458464.3.1
119,chr8:73294935-73294959:+,chr8,73294936,73294959,ENSG00000121039.9,RDH10,+,ATG,7,ENST00000240285.9,ENST00000240285.9.1
120,chr8:144517670-144517784:-,chr8,144517671,144517784,ENSG00000160957.12,RECQL4,-,ATG,37,ENST00000621189.4,ENST00000621189.4.1
121,chr8:144519619-144519967:+,chr8,144519620,144519967,ENSG00000160959.7,LRRC14,+,ATG,115,ENST00000292524.5,ENST00000292524.5.1
122,chr9:35732635-35732824:+,chr9,35732636,35732824,ENSG00000107175.11,CREB3,+,ATG,62,ENST00000353704.2,ENST00000353704.2.1
123,chr9:105574979-105575033:+,chr9,105574980,105575033,ENSG00000106692.14,FKTN,+,ATG,17,ENST00000223528.6,ENST00000223528.6.1
124,chr9:120788274-120793252:-,chr9,120788275,120793252,ENSG00000119402.16,FBXW2,-,ATG,35,ENST00000608872.5,ENST00000608872.5.1
125,chr9:128456182-128456221:+,chr9,128456183,128456221,ENSG00000136811.16,ODF2,+,ATG,12,ENST00000351030.7,ENST00000351030.7.1
126,chr9:128886027-128886105:+,chr9,128886028,128886105,ENSG00000136802.11,LRRC8A,+,ATG,25,ENST00000372600.8,ENST00000372600.8.1
127,chr9:133031011-133050815:+,chr9,133031012,133050815,ENSG00000148308.17,GTF3C5,+,ATG,61,ENST00000372099.10,ENST00000372099.10.1
128,chr9:136116980-136118602:-,chr9,136116981,136118602,ENSG00000238227.7,C9orf69,-,ATG,53,ENST00000418388.5,ENST00000418388.5.1
129,chr9:137459131-137459278:-,chr9,137459132,137459278,ENSG00000165802.22,NSMF,-,ATG,48,ENST00000371473.7,ENST00000371473.7.1
130,chr10:12195809-12195911:-,chr10,12195810,12195911,ENSG00000165609.12,NUDT5,-,ATG,33,ENST00000491614.5,ENST00000491614.5.1
131,chr10:18651382-18651448:-,chr10,18651383,18651448,ENSG00000241058.3,NSUN6,-,ATG,21,ENST00000377304.6,ENST00000377304.6.1
132,chr10:38010753-38012345:+,chr10,38010754,38012345,ENSG00000189180.15,ZNF33A,+,ATG,25,ENST00000469037.2,ENST00000469037.2.1
133,chr10:32056173-32056200:-,chr10,32056174,32056200,ENSG00000170759.10,KIF5B,-,ATG,8,ENST00000302418.4,ENST00000302418.4.1
134,chr10:71964629-72005757:+,chr10,71964630,72005757,ENSG00000122863.5,CHST3,+,ATG,28,ENST00000373115.4,ENST00000373115.4.1
135,chr10:91222719-91222824:+,chr10,91222720,91222824,ENSG00000180628.14,PCGF5,+,ATG,34,ENST00000614189.4,ENST00000614189.4.1
136,chr10:100912983-100913136:+,chr10,100912984,100913136,ENSG00000119906.11,SLF2,+,ATG,50,ENST00000238961.8,ENST00000238961.8.1
137,chr10:102424780-102432576:-,chr10,102424781,102432576,ENSG00000107874.10,CUEDC2,-,ATG,48,ENST00000369937.4,ENST00000369937.4.1
138,chr10:112445458-112445542:-,chr10,112445459,112445542,ENSG00000023041.11,ZDHHC6,-,ATG,27,ENST00000626395.2,ENST00000626395.2.1
139,chr10:124046318-124046444:-,chr10,124046319,124046444,ENSG00000182022.17,CHST15,-,ATG,41,ENST00000435907.5,ENST00000435907.5.1
140,chr11:207788-207950:+,chr11,207789,207950,ENSG00000177963.14,RIC8A,+,ATG,53,ENST00000526104.5,ENST00000526104.5.1
141,chr11:6604271-6608427:+,chr11,6604272,6608427,ENSG00000166333.13,ILK,+,ATG,40,ENST00000532063.5,ENST00000532063.5.1
142,chr11:10808853-10808904:-,chr11,10808854,10808904,ENSG00000110321.16,EIF4G2,-,ATG,16,ENST00000339995.9,ENST00000339995.9.1
143,chr11:62639094-62646599:-,chr11,62639095,62646599,ENSG00000089597.16,GANAB,-,ATG,52,ENST00000540933.5,ENST00000540933.5.1
144,chr11:68263865-68268196:-,chr11,68263866,68268196,ENSG00000171067.10,C11orf24,-,ATG,47,ENST00000304271.10,ENST00000304271.10.1
145,chr11:108009040-108009148:+,chr11,108009041,108009148,ENSG00000166266.13,CUL5,+,ATG,35,ENST00000393094.6,ENST00000393094.6.1
146,chr11:117229843-117232337:-,chr11,117229844,117232337,ENSG00000160613.12,PCSK7,-,ATG,147,ENST00000320934.7,ENST00000320934.7.1
147,chr12:2885197-2885512:+,chr12,2885198,2885512,ENSG00000171792.10,RHNO1,+,ATG,104,ENST00000618250.4,ENST00000618250.4.1
148,chr12:32679204-32720681:+,chr12,32679205,32720681,ENSG00000087470.17,DNM1L,+,ATG,170,ENST00000414834.6,ENST00000414834.6.1
149,chr12:29371657-29381143:-,chr12,29371658,29381143,ENSG00000087502.17,ERGIC2,-,ATG,13,ENST00000360150.8,ENST00000360150.8.1
150,chr12:46268860-46268905:-,chr12,46268861,46268905,ENSG00000111371.15,SLC38A1,-,ATG,14,ENST00000398637.9,ENST00000398637.9.1
151,chr12:54183813-54183948:-,chr12,54183814,54183948,ENSG00000123415.15,SMUG1,-,ATG,44,ENST00000635546.1,ENST00000635546.1.1
152,chr12:56041949-56041973:+,chr12,56041950,56041973,ENSG00000197728.10,RPS26,+,ATG,7,ENST00000356464.10,ENST00000356464.10.1
153,chr12:56216458-56216524:-,chr12,56216459,56216524,ENSG00000181852.17,RNF41,-,ATG,21,ENST00000345093.8,ENST00000345093.8.1
154,chr12:57755187-57755280:+,chr12,57755188,57755280,ENSG00000139266.5,MARCH9,+,ATG,30,ENST00000266643.5,ENST00000266643.5.1
155,chr12:68808246-68808291:+,chr12,68808247,68808291,ENSG00000135679.23,MDM2,+,ATG,14,ENST00000258149.9,ENST00000258149.9.1
156,chr12:89656025-89656094:-,chr12,89656026,89656094,ENSG00000070961.15,ATP2B1,-,ATG,22,ENST00000428670.7,ENST00000428670.7.1
157,chr12:100142604-100142811:-,chr12,100142605,100142811,ENSG00000111647.12,UHRF1BP1L,-,ATG,68,ENST00000279907.11,ENST00000279907.11.1
158,chr12:120687179-120687227:+,chr12,120687180,120687227,ENSG00000110917.7,MLEC,+,ATG,15,ENST00000228506.7,ENST00000228506.7.1
159,chr12:121400162-121400216:+,chr12,121400163,121400216,ENSG00000170633.16,RNF34,+,ATG,17,ENST00000392464.3,ENST00000392464.3.1
160,chr12:122483446-122492734:-,chr12,122483447,122492734,ENSG00000033030.13,ZCCHC8,-,ATG,106,ENST00000543897.5,ENST00000543897.5.1
161,chr13:29850116-29850173:-,chr13,29850117,29850173,ENSG00000122042.9,UBL3,-,ATG,18,ENST00000380680.4,ENST00000380680.4.1
162,chr13:39601049-39601355:-,chr13,39601050,39601355,ENSG00000183722.7,LHFP,-,ATG,101,ENST00000379589.3,ENST00000379589.3.1
163,chr13:41311220-41311412:+,chr13,41311221,41311412,ENSG00000172766.18,NAA16,+,ATG,63,ENST00000379406.7,ENST00000379406.7.1
164,chr13:102799221-102799323:+,chr13,102799222,102799323,ENSG00000270181.3,BIVM-ERCC5,+,ATG,33,ENST00000639435.1,ENST00000639435.1.1
165,chr13:106535381-106535444:-,chr13,106535382,106535444,ENSG00000125266.7,EFNB2,-,ATG,20,ENST00000646441.1,ENST00000646441.1.1
166,chr14:57268708-57268816:-,chr14,57268709,57268816,ENSG00000070367.15,EXOC5,-,ATG,35,ENST00000621441.4,ENST00000621441.4.1
167,chr14:99971814-99971874:+,chr14,99971815,99971874,ENSG00000196405.12,EVL,+,ATG,19,ENST00000402714.6,ENST00000402714.6.1
168,chr15:45587443-45658911:+,chr15,45587444,45658911,ENSG00000260170.1,RP11-96O20.4,+,ATG,28,ENST00000564080.1,ENST00000564080.1.1
169,chr15:50648801-50686717:-,chr15,50648802,50686717,ENSG00000092439.14,TRPM7,-,ATG,129,ENST00000313478.11,ENST00000313478.11.1
170,chr15:66703084-66703195:+,chr15,66703085,66703195,ENSG00000137834.14,SMAD6,+,ATG,36,ENST00000288840.9,ENST00000288840.9.1
171,chr15:70097054-70097132:-,chr15,70097055,70097132,ENSG00000140332.15,TLE3,-,ATG,25,ENST00000558939.5,ENST00000558939.5.1
172,chr15:78123719-78131261:-,chr15,78123720,78131261,ENSG00000136425.13,CIB2,-,ATG,38,ENST00000258930.7,ENST00000258930.7.1
173,chr15:81001988-81002279:+,chr15,81001989,81002279,ENSG00000140406.3,MESDC1,+,ATG,96,ENST00000267984.3,ENST00000267984.3.1
174,chr15:89247637-89247730:+,chr15,89247638,89247730,ENSG00000140525.17,FANCI,+,ATG,30,ENST00000300027.12,ENST00000300027.12.1
175,chr16:53951-55489:+,chr16,53952,55489,ENSG00000161981.10,SNRNP25,+,ATG,45,ENST00000293861.7,ENST00000293861.7.1
176,chr16:11668537-11676010:+,chr16,11668538,11676010,ENSG00000184602.5,SNN,+,ATG,12,ENST00000329565.5,ENST00000329565.5.1
177,chr16:19523960-19524023:+,chr16,19523961,19524023,ENSG00000103540.16,CCP110,+,ATG,20,ENST00000396212.6,ENST00000396212.6.1
178,chr16:25111843-25111894:+,chr16,25111844,25111894,ENSG00000205629.11,LCMT1,+,ATG,16,ENST00000399069.7,ENST00000399069.7.1
179,chr16:29862928-29863342:-,chr16,29862929,29863342,ENSG00000103502.13,CDIPT,-,ATG,137,ENST00000219789.10,ENST00000219789.10.1
180,chr16:29995981-29996272:+,chr16,29995982,29996272,ENSG00000169592.14,INO80E,+,ATG,96,ENST00000563197.5,ENST00000563197.5.1
181,chr16:30762115-30762223:+,chr16,30762116,30762223,ENSG00000103549.21,RNF40,+,ATG,35,ENST00000324685.10,ENST00000324685.10.1
182,chr16:30925868-30930145:+,chr16,30925869,30930145,ENSG00000099364.16,FBXL19,+,ATG,249,ENST00000471231.6,ENST00000471231.6.1
183,chr16:30700708-30704082:+,chr16,30700709,30704082,ENSG00000080603.16,SRCAP,+,ATG,62,ENST00000262518.8,ENST00000262518.8.1
184,chr16:56451289-56451310:-,chr16,56451290,56451310,ENSG00000167005.13,NUDT21,-,ATG,6,ENST00000300291.9,ENST00000300291.9.1
