,ORF_id_gen,chromosome,start,stop,gene_id,gene_symbol,strand,start_codon,ORF_length,transcript_id,uORFids
41,chr1:233327785-233327887:+,chr1,233327786,233327887,ENSG00000143674.10,RP5-862P8.2,+,ATG,33,ENST00000366624.7,ENST00000366624.7.1
42,chr1:231241225-231241339:+,chr1,231241226,231241339,ENSG00000116906.12,GNPAT,+,ATG,37,ENST00000366647.8,ENST00000366647.8.1
43,chr1:235328581-235328719:+,chr1,235328582,235328719,ENSG00000152904.11,GGPS1,+,ATG,45,ENST00000282841.9,ENST00000282841.9.1
44,chr1:240091945-240092071:+,chr1,240091946,240092071,ENSG00000155816.19,FMN2,+,ATG,41,ENST00000319653.13,ENST00000319653.13.1
45,chr1:241848840-241848906:+,chr1,241848841,241848906,ENSG00000174371.16,EXO1,+,ATG,21,ENST00000366548.7,ENST00000366548.7.1
46,chr1:236795320-236803436:+,chr1,236795321,236803436,ENSG00000116984.12,MTR,+,ATG,141,ENST00000366577.9,ENST00000366577.9.1
47,chr1:244835527-244835566:+,chr1,244835528,244835566,ENSG00000203667.9,COX20,+,ATG,12,ENST00000411948.6,ENST00000411948.6.1
48,chr2:9423673-9423721:+,chr2,9423674,9423721,ENSG00000119203.13,CPSF3,+,ATG,15,ENST00000238112.7,ENST00000238112.7.1
49,chr2:27134485-27134578:-,chr2,27134486,27134578,ENSG00000138073.13,PREB,-,ATG,30,ENST00000260643.6,ENST00000260643.6.1
50,chr2:37316836-37316893:-,chr2,37316837,37316893,ENSG00000115825.9,PRKD3,-,ATG,18,ENST00000379066.5,ENST00000379066.5.1
51,chr2:44169013-44169133:+,chr2,44169014,44169133,ENSG00000138032.20,PPM1B,+,ATG,39,ENST00000378551.6,ENST00000378551.6.1
52,chr2:44168902-44168929:+,chr2,44168903,44168929,ENSG00000138032.20,PPM1B,+,ATG,8,ENST00000378551.6,ENST00000378551.6.2
53,chr2:55419163-55419202:-,chr2,55419164,55419202,ENSG00000115355.16,CCDC88A,-,ATG,12,ENST00000263630.13,ENST00000263630.13.1
54,chr2:112646592-112646670:+,chr2,112646593,112646670,ENSG00000144136.10,SLC20A1,+,ATG,25,ENST00000272542.7,ENST00000272542.7.1
55,chr2:113756463-113756490:-,chr2,113756464,113756490,ENSG00000115084.13,SLC35F5,-,ATG,8,ENST00000245680.6,ENST00000245680.6.1
56,chr2:175118339-175136443:-,chr2,175118340,175136443,ENSG00000115966.16,ATF2,-,ATG,43,ENST00000345739.9,ENST00000345739.9.1
57,chr2:189661520-189666111:+,chr2,189661521,189666111,ENSG00000138381.9,ASNSD1,+,ATG,96,ENST00000260952.8,ENST00000260952.8.1
58,chr2:191013637-191013661:-,chr2,191013638,191013661,ENSG00000115415.18,STAT1,-,ATG,7,ENST00000361099.7,ENST00000361099.7.1
59,chr2:218737595-218737664:+,chr2,218737596,218737664,ENSG00000135912.10,TTLL4,+,ATG,22,ENST00000392102.5,ENST00000392102.5.1
60,chr2:219245896-219245980:+,chr2,219245897,219245980,ENSG00000115661.13,STK16,+,ATG,27,ENST00000409638.7,ENST00000409638.7.1
61,chr2:241315603-241315645:-,chr2,241315604,241315645,ENSG00000115677.16,HDLBP,-,ATG,13,ENST00000310931.8,ENST00000310931.8.2
62,chr3:12663905-12663959:-,chr3,12663906,12663959,ENSG00000132155.11,RAF1,-,ATG,17,ENST00000251849.8,ENST00000251849.8.1
63,chr3:15096710-15098157:-,chr3,15096711,15098157,ENSG00000131381.12,RBSN,-,ATG,12,ENST00000253699.7,ENST00000253699.7.1
64,chr3:28348696-28348783:-,chr3,28348697,28348783,ENSG00000163512.13,AZI2,-,ATG,28,ENST00000479665.5,ENST00000479665.5.1
65,chr3:47805344-47805419:+,chr3,47805345,47805419,ENSG00000132153.14,DHX30,+,ATG,24,ENST00000445061.5,ENST00000445061.5.1
66,chr3:50613894-50617683:+,chr3,50613895,50617683,ENSG00000114738.10,MAPKAPK3,+,ATG,97,ENST00000446044.5,ENST00000446044.5.1
67,chr3:94063014-94064501:+,chr3,94063015,94064501,ENSG00000178694.9,NSUN3,+,ATG,62,ENST00000314622.8,ENST00000314622.8.1
68,chr3:88058138-88058216:-,chr3,88058139,88058216,ENSG00000163320.10,CGGBP1,-,ATG,25,ENST00000462901.5,ENST00000462901.5.1
69,chr3:99817948-99817978:+,chr3,99817949,99817978,ENSG00000184220.11,CMSS1,+,ATG,9,ENST00000421999.7,ENST00000421999.7.1
70,chr3:119498631-119498691:+,chr3,119498632,119498691,ENSG00000113845.9,TIMMDC1,+,ATG,19,ENST00000494664.5,ENST00000494664.5.1
71,chr3:152269025-152269076:+,chr3,152269026,152269076,ENSG00000152601.17,MBNL1,+,ATG,16,ENST00000355460.6,ENST00000355460.6.1
72,chr3:186570661-186570862:+,chr3,186570662,186570862,ENSG00000090520.11,DNAJB11,+,ATG,66,ENST00000439351.5,ENST00000439351.5.1
73,chr3:196503548-196503614:-,chr3,196503549,196503614,ENSG00000163961.4,RNF168,-,ATG,21,ENST00000318037.3,ENST00000318037.3.1
74,chr4:39366298-39366319:-,chr4,39366299,39366319,ENSG00000035928.15,RFC1,-,ATG,6,ENST00000381897.5,ENST00000381897.5.1
75,chr4:41990503-41990632:+,chr4,41990504,41990632,ENSG00000014824.13,SLC30A9,+,ATG,42,ENST00000264451.11,ENST00000264451.11.1
76,chr4:39527314-39527500:-,chr4,39527315,39527500,ENSG00000109814.11,UGDH,-,ATG,61,ENST00000316423.10,ENST00000316423.10.1
77,chr4:75630141-75630276:-,chr4,75630142,75630276,ENSG00000138769.10,CDKL2,-,ATG,44,ENST00000429927.6,ENST00000429927.6.1
78,chr4:82900166-82900435:-,chr4,82900167,82900435,ENSG00000138674.16,SEC31A,-,ATG,52,ENST00000355196.6,ENST00000355196.6.1
79,chr4:104491977-104492040:-,chr4,104491978,104492040,ENSG00000168772.10,CXXC4,-,ATG,20,ENST00000394767.2,ENST00000394767.2.1
80,chr4:145180009-145180147:-,chr4,145180010,145180147,ENSG00000164164.16,OTUD4,-,ATG,45,ENST00000447906.7,ENST00000447906.7.1
81,chr4:155667205-155696947:+,chr4,155667206,155696947,ENSG00000164116.16,GUCY1A3,+,ATG,33,ENST00000393832.7,ENST00000393832.7.1
82,chr4:183099457-183099499:+,chr4,183099458,183099499,ENSG00000151718.15,WWC2,+,ATG,13,ENST00000403733.7,ENST00000403733.7.1
83,chr5:5422785-5422881:+,chr5,5422786,5422881,ENSG00000164151.11,ICE1,+,ATG,31,ENST00000296564.8,ENST00000296564.8.1
84,chr5:61161109-61161196:-,chr5,61161110,61161196,ENSG00000188725.7,SMIM15,-,ATG,28,ENST00000339020.7,ENST00000339020.7.1
85,chr5:57175831-57175858:+,chr5,57175832,57175858,ENSG00000062194.15,GPBP1,+,ATG,8,ENST00000424459.7,ENST00000424459.7.1
86,chr5:62306472-62308343:+,chr5,62306473,62308343,ENSG00000068796.16,KIF2A,+,ATG,32,ENST00000381103.6,ENST00000381103.6.1
87,chr5:64768954-64768993:+,chr5,64768955,64768993,ENSG00000153015.15,CWC27,+,ATG,12,ENST00000381070.7,ENST00000381070.7.1
88,chr5:65624828-65624951:+,chr5,65624829,65624951,ENSG00000113597.17,TRAPPC13,+,ATG,40,ENST00000399438.7,ENST00000399438.7.1
89,chr5:77030624-77030723:+,chr5,77030625,77030723,ENSG00000164252.12,AGGF1,+,ATG,32,ENST00000312916.11,ENST00000312916.11.1
90,chr5:77077874-77078689:-,chr5,77077875,77078689,ENSG00000132846.5,ZBED3,-,ATG,38,ENST00000255198.2,ENST00000255198.2.1
91,chr5:90529456-90529525:-,chr5,90529457,90529525,ENSG00000176018.12,LYSMD3,-,ATG,22,ENST00000315948.10,ENST00000315948.10.1
92,chr5:138021109-138021157:-,chr5,138021110,138021157,ENSG00000031003.10,FAM13B,-,ATG,15,ENST00000033079.7,ENST00000033079.7.1
93,chr5:138542936-138543204:-,chr5,138542937,138543204,ENSG00000120705.12,ETF1,-,ATG,35,ENST00000360541.9,ENST00000360541.9.1
94,chr5:140564843-140566762:+,chr5,140564844,140566762,ENSG00000176087.14,SLC35A4,+,ATG,103,ENST00000323146.7,ENST00000323146.7.1
95,chr5:141320513-141320723:-,chr5,141320514,141320723,ENSG00000178913.7,TAF7,-,ATG,69,ENST00000313368.7,ENST00000313368.7.1
96,chr5:147671902-147782553:-,chr5,147671903,147782553,ENSG00000176049.15,JAKMIP2,-,ATG,49,ENST00000265272.9,ENST00000265272.9.1
97,chr5:176238508-176261111:+,chr5,176238509,176261111,ENSG00000170085.17,SIMC1,+,ATG,70,ENST00000443967.5,ENST00000443967.5.1
98,chr5:176361647-176361710:-,chr5,176361648,176361710,ENSG00000122203.14,KIAA1191,-,ATG,20,ENST00000298569.8,ENST00000298569.8.1
99,chr5:173328349-173328385:-,chr5,173328350,173328385,ENSG00000113739.10,STC2,-,ATG,11,ENST00000265087.8,ENST00000265087.8.1
100,chr5:180851346-180851466:-,chr5,180851347,180851466,ENSG00000196670.13,ZFP62,-,ATG,39,ENST00000512132.5,ENST00000512132.5.1
101,chr6:7389889-7389952:+,chr6,7389890,7389952,ENSG00000124784.8,RIOK1,+,ATG,20,ENST00000379834.6,ENST00000379834.6.1
102,chr6:24719329-24719554:-,chr6,24719330,24719554,ENSG00000112308.12,C6orf62,-,ATG,74,ENST00000378119.8,ENST00000378119.8.2
103,chr6:35281122-35281179:+,chr6,35281123,35281179,ENSG00000065029.14,ZNF76,+,ATG,18,ENST00000373953.7,ENST00000373953.7.1
104,chr6:35411046-35421847:+,chr6,35411047,35421847,ENSG00000112033.13,PPARD,+,ATG,117,ENST00000311565.4,ENST00000311565.4.1
105,chr6:34392524-34392644:-,chr6,34392525,34392644,ENSG00000272325.1,NUDT3,-,ATG,39,ENST00000607016.1,ENST00000607016.1.1
106,chr6:53065601-53065673:+,chr6,53065602,53065673,ENSG00000112146.16,FBXO9,+,ATG,23,ENST00000323557.11,ENST00000323557.11.1
107,chr6:127343373-127343427:-,chr6,127343374,127343427,ENSG00000093144.18,ECHDC1,-,ATG,17,ENST00000454859.7,ENST00000454859.7.1
108,chr6:133241609-133241675:+,chr6,133241610,133241675,ENSG00000112319.18,EYA4,+,ATG,21,ENST00000367895.9,ENST00000367895.9.1
109,chr6:152975614-152983469:-,chr6,152975615,152983469,ENSG00000112029.9,FBXO5,-,ATG,80,ENST00000367241.3,ENST00000367241.3.1
110,chr6:159790513-159790549:+,chr6,159790514,159790549,ENSG00000112110.9,MRPL18,+,ATG,11,ENST00000367034.4,ENST00000367034.4.1
111,chr7:17940324-17940483:-,chr7,17940325,17940483,ENSG00000071189.21,SNX13,-,ATG,52,ENST00000428135.7,ENST00000428135.7.1
112,chr7:35253937-35253970:-,chr7,35253938,35253970,ENSG00000164532.10,TBX20,-,ATG,10,ENST00000408931.3,ENST00000408931.3.1
113,chr7:35694433-35694487:-,chr7,35694434,35694487,ENSG00000122557.9,HERPUD2,-,ATG,17,ENST00000396081.5,ENST00000396081.5.1
114,chr7:66205482-66240404:+,chr7,66205483,66240404,ENSG00000169902.13,TPST1,+,ATG,39,ENST00000304842.5,ENST00000304842.5.1
115,chr7:64679198-64691247:+,chr7,64679199,64691247,ENSG00000196247.11,ZNF107,+,ATG,45,ENST00000344930.7,ENST00000344930.7.1
116,chr7:72879425-72879524:+,chr7,72879426,72879524,ENSG00000196313.11,POM121,+,ATG,32,ENST00000395270.5,ENST00000395270.5.1
117,chr7:75073752-75073776:-,chr7,75073753,75073776,ENSG00000274523.4,WBSCR16,-,ATG,7,ENST00000610322.4,ENST00000610322.4.1
118,chr7:83648741-83648792:-,chr7,83648742,83648792,ENSG00000170381.13,SEMA3E,-,ATG,16,ENST00000643230.1,ENST00000643230.1.1
119,chr7:99408834-99408885:+,chr7,99408835,99408885,ENSG00000106245.10,BUD31,+,ATG,16,ENST00000403633.6,ENST00000403633.6.1
120,chr7:98881102-98881126:+,chr7,98881103,98881126,ENSG00000196367.13,TRRAP,+,ATG,7,ENST00000355540.7,ENST00000355540.7.1
121,chr7:108569625-108569682:-,chr7,108569626,108569682,ENSG00000177683.13,THAP5,-,ATG,18,ENST00000415914.3,ENST00000415914.3.1
122,chr7:105532286-105536573:+,chr7,105532287,105536573,ENSG00000135249.7,RINT1,+,ATG,41,ENST00000257700.6,ENST00000257700.6.1
123,chr7:103344697-103344754:-,chr7,103344698,103344754,ENSG00000105821.14,DNAJC2,-,ATG,18,ENST00000379263.7,ENST00000379263.7.1
124,chr7:129054849-129054888:-,chr7,129054850,129054888,ENSG00000064419.13,TNPO3,-,ATG,12,ENST00000265388.9,ENST00000265388.9.1
125,chr7:134646838-134661464:+,chr7,134646839,134661464,ENSG00000172331.11,BPGM,+,ATG,38,ENST00000344924.7,ENST00000344924.7.1
126,chr8:17247067-17247109:+,chr8,17247068,17247109,ENSG00000155975.9,VPS37A,+,ATG,13,ENST00000324849.8,ENST00000324849.8.1
127,chr8:43097556-43102538:+,chr8,43097557,43102538,ENSG00000185900.9,POMK,+,ATG,30,ENST00000331373.9,ENST00000331373.9.1
128,chr8:55762965-55763007:-,chr8,55762966,55763007,ENSG00000167904.14,TMEM68,-,ATG,13,ENST00000334667.6,ENST00000334667.6.1
129,chr8:109540190-109540424:+,chr8,109540191,109540424,ENSG00000147654.14,EBAG9,+,ATG,77,ENST00000337573.9,ENST00000337573.9.1
130,chr8:120811833-120813121:-,chr8,120811834,120813121,ENSG00000172164.13,SNTB1,-,ATG,90,ENST00000395601.7,ENST00000395601.7.1
131,chr8:123347259-123356434:-,chr8,123347260,123356434,ENSG00000156802.12,ATAD2,-,ATG,138,ENST00000521903.5,ENST00000521903.5.1
132,chr9:34179060-34179147:+,chr9,34179061,34179147,ENSG00000165006.13,UBAP1,+,ATG,28,ENST00000297661.8,ENST00000297661.8.1
133,chr9:38068784-38068904:-,chr9,38068785,38068904,ENSG00000107338.9,SHB,-,ATG,39,ENST00000377707.3,ENST00000377707.3.1
134,chr9:38392734-38395780:+,chr9,38392735,38395780,ENSG00000137124.7,ALDH1B1,+,ATG,37,ENST00000377698.3,ENST00000377698.3.1
135,chr9:35732635-35732824:+,chr9,35732636,35732824,ENSG00000107175.11,CREB3,+,ATG,62,ENST00000353704.2,ENST00000353704.2.1
136,chr9:95875916-95880940:+,chr9,95875917,95880940,ENSG00000182150.15,ERCC6L2,+,ATG,79,ENST00000288985.11,ENST00000288985.11.1
137,chr9:93453254-93453491:-,chr9,93453255,93453491,ENSG00000188938.15,FAM120AOS,-,ATG,78,ENST00000375412.9,ENST00000375412.9.1
138,chr9:96777684-96777828:-,chr9,96777685,96777828,ENSG00000081386.12,ZNF510,-,ATG,47,ENST00000375231.5,ENST00000375231.5.1
139,chr9:105244803-105244827:+,chr9,105244804,105244827,ENSG00000070214.15,SLC44A1,+,ATG,7,ENST00000374724.1,ENST00000374724.1.1
140,chr9:105574979-105575033:+,chr9,105574980,105575033,ENSG00000106692.14,FKTN,+,ATG,17,ENST00000223528.6,ENST00000223528.6.1
141,chr9:107489437-107489620:-,chr9,107489438,107489620,ENSG00000136826.14,KLF4,-,ATG,60,ENST00000374672.4,ENST00000374672.4.1
142,chr9:112297861-112333477:-,chr9,112297862,112333477,ENSG00000119314.15,PTBP3,-,ATG,20,ENST00000374257.5,ENST00000374257.5.1
143,chr9:128127843-128128413:-,chr9,128127844,128128413,ENSG00000148334.14,PTGES2,-,ATG,189,ENST00000338961.10,ENST00000338961.10.1
144,chr9:128702572-128702839:+,chr9,128702573,128702839,ENSG00000160447.6,PKN3,+,ATG,88,ENST00000291906.4,ENST00000291906.4.1
145,chr9:128886027-128886105:+,chr9,128886028,128886105,ENSG00000136802.11,LRRC8A,+,ATG,25,ENST00000372600.8,ENST00000372600.8.1
146,chr9:125707113-125707143:-,chr9,125707114,125707143,ENSG00000119487.16,MAPKAP1,-,ATG,9,ENST00000373511.6,ENST00000373511.6.1
147,chr9:135484056-135484455:+,chr9,135484057,135484455,ENSG00000196422.10,PPP1R26,+,ATG,10,ENST00000605286.5,ENST00000605286.5.1
148,chr9:131530631-131531196:-,chr9,131530632,131531196,ENSG00000130717.12,UCK1,-,ATG,47,ENST00000372215.4,ENST00000372215.4.1
149,chr9:136116980-136118602:-,chr9,136116981,136118602,ENSG00000238227.7,C9orf69,-,ATG,53,ENST00000418388.5,ENST00000418388.5.1
150,chr9:134025862-134025988:+,chr9,134025863,134025988,ENSG00000235106.9,RP11-374P20.5,+,ATG,41,ENST00000603928.2,ENST00000603928.2.1
151,chr10:22321234-22321324:+,chr10,22321235,22321324,ENSG00000168283.13,BMI1,+,ATG,29,ENST00000376663.7,ENST00000376663.7.1
152,chr10:18651382-18651448:-,chr10,18651383,18651448,ENSG00000241058.3,NSUN6,-,ATG,21,ENST00000377304.6,ENST00000377304.6.1
153,chr10:28535610-28590796:+,chr10,28535611,28590796,ENSG00000095787.21,WAC,+,ATG,148,ENST00000375664.8,ENST00000375664.8.1
154,chr10:68721250-68722467:+,chr10,68721251,68722467,ENSG00000060339.13,CCAR1,+,ATG,14,ENST00000265872.10,ENST00000265872.10.1
155,chr10:92291216-92311190:+,chr10,92291217,92311190,ENSG00000198060.9,MARCH5,+,ATG,122,ENST00000358935.2,ENST00000358935.2.1
156,chr10:96832302-96833452:+,chr10,96832303,96833452,ENSG00000196233.13,LCOR,+,ATG,47,ENST00000421806.3,ENST00000421806.3.1
157,chr10:98443214-98445396:-,chr10,98443215,98445396,ENSG00000107521.18,HPS1,-,ATG,40,ENST00000325103.10,ENST00000325103.10.1
158,chr10:100987823-100987892:+,chr10,100987824,100987892,ENSG00000107815.8,TWNK,+,ATG,22,ENST00000370228.2,ENST00000370228.2.1
159,chr10:99659877-99659928:+,chr10,99659878,99659928,ENSG00000198018.6,ENTPD7,+,ATG,16,ENST00000370489.4,ENST00000370489.4.1
160,chr10:114174042-114174087:-,chr10,114174043,114174087,ENSG00000165813.18,CCDC186,-,ATG,14,ENST00000369287.7,ENST00000369287.7.1
161,chr11:2400608-2400794:+,chr11,2400609,2400794,ENSG00000184281.14,TSSC4,+,ATG,61,ENST00000380996.9,ENST00000380996.9.1
162,chr11:7020077-7020116:-,chr11,7020078,7020116,ENSG00000149050.9,ZNF214,-,ATG,12,ENST00000278314.4,ENST00000278314.4.1
163,chr11:7252173-7303165:+,chr11,7252174,7303165,ENSG00000170743.16,SYT9,+,ATG,94,ENST00000318881.10,ENST00000318881.10.1
164,chr11:13349986-13350007:+,chr11,13349987,13350007,ENSG00000133794.17,ARNTL,+,ATG,6,ENST00000401424.5,ENST00000401424.5.1
165,chr11:61364355-61366169:+,chr11,61364356,61366169,ENSG00000149483.11,TMEM138,+,ATG,95,ENST00000278826.10,ENST00000278826.10.1
166,chr11:64234537-64234792:+,chr11,64234538,64234792,ENSG00000173511.9,VEGFB,+,ATG,84,ENST00000309422.6,ENST00000309422.6.1
167,chr11:65041010-65041058:+,chr11,65041011,65041058,ENSG00000168061.14,SAC3D1,+,ATG,15,ENST00000531072.1,ENST00000531072.1.1
168,chr11:73981511-73983034:-,chr11,73981512,73983034,ENSG00000175567.8,UCP2,-,ATG,144,ENST00000310473.7,ENST00000310473.7.1
169,chr11:83285968-83286172:-,chr11,83285969,83286172,ENSG00000137500.9,CCDC90B,-,ATG,67,ENST00000529689.5,ENST00000529689.5.1
170,chr11:94494005-94496639:+,chr11,94494006,94496639,ENSG00000168876.8,ANKRD49,+,ATG,21,ENST00000544612.5,ENST00000544612.5.1
171,chr11:95924050-95924092:-,chr11,95924051,95924092,ENSG00000087053.18,MTMR2,-,ATG,13,ENST00000346299.9,ENST00000346299.9.1
172,chr11:124623042-124623087:+,chr11,124623043,124623087,ENSG00000154144.12,TBRG1,+,ATG,14,ENST00000441174.7,ENST00000441174.7.1
173,chr12:14803426-14803465:-,chr12,14803427,14803465,ENSG00000084463.7,WBP11,-,ATG,12,ENST00000261167.6,ENST00000261167.6.1
174,chr12:45990414-45990441:-,chr12,45990415,45990441,ENSG00000139218.17,SCAF11,-,ATG,8,ENST00000369367.7,ENST00000369367.7.1
175,chr12:47964211-47964298:+,chr12,47964212,47964298,ENSG00000134291.11,TMEM106C,+,ATG,28,ENST00000256686.10,ENST00000256686.10.1
176,chr12:49460794-49484661:+,chr12,49460795,49484661,ENSG00000123352.17,SPATS2,+,ATG,104,ENST00000553127.5,ENST00000553127.5.1
177,chr12:54183813-54183948:-,chr12,54183814,54183948,ENSG00000123415.15,SMUG1,-,ATG,44,ENST00000513838.5,ENST00000513838.5.1
178,chr12:56216532-56216574:-,chr12,56216533,56216574,ENSG00000181852.17,RNF41,-,ATG,13,ENST00000345093.8,ENST00000345093.8.1
179,chr12:96400192-96400222:-,chr12,96400193,96400222,ENSG00000059758.7,CDK17,-,ATG,9,ENST00000261211.7,ENST00000261211.7.1
180,chr12:107685781-107685889:+,chr12,107685782,107685889,ENSG00000136045.11,PWP1,+,ATG,35,ENST00000412830.7,ENST00000412830.7.1
181,chr12:107760610-107761008:-,chr12,107760611,107761008,ENSG00000110851.11,PRDM4,-,ATG,70,ENST00000228437.9,ENST00000228437.9.1
182,chr12:110583230-110583302:-,chr12,110583231,110583302,ENSG00000196850.5,PPTC7,-,ATG,23,ENST00000354300.4,ENST00000354300.4.1
183,chr12:111842236-111842371:+,chr12,111842237,111842371,ENSG00000089022.13,MAPKAPK5,+,ATG,44,ENST00000550735.6,ENST00000550735.6.1
184,chr12:118016827-118017690:+,chr12,118016828,118017690,ENSG00000111445.13,RFC5,+,ATG,21,ENST00000392542.6,ENST00000392542.6.1
